Versuchsreihe	Name Probe	Sonotrode	Amplitude	Schweißzeit	Schweißkraft	Verbund	Zugscherkraft
Name	Name		µm	ms	N	ja/nein	N
2304001	N3 2304001	T 2022 PG-ZM4	55	1500	200	ja	203.310333251953
2304001	N4 2304001	T 2022 PG-ZM4	55	2000	200	ja	97.5816955566406
2304001	N5 2304001	T 2022 PG-ZM4	55	2000	250	ja	467.018341064453
2304001	N6 2304001	T 2022 PG-ZM4	55	2000	300	ja	1029.22961425781
2304001	N7 2304001	T 2022 PG-ZM4	55	1000	400	ja	99.582763671875
2304001	N8 2304001	T 2022 PG-ZM4	55	3000	150	nein	0
2304001	N9 2304001	T 2022 PG-ZM4	55	3000	200	ja	676.22607421875
2304001	N10 2304001	T 2022 PG-ZM4	55	3000	250	ja	115.466735839843
2304001	N11 2304001	T 2022 PG-ZM4	55	3000	300	ja	570.365417480468
2304001	N13 2304001	T 2022 PG-ZM4	55	3500	200	ja	373.568481445312
2304001	N14 2304001	T 2022 PG-ZM4	44	4000	150	ja	59.9357070922851
2304001	N15 2304001	T 2022 PG-ZM4	44	4000	200	ja	543.615112304687
2304002	X29 2304002	T 2022 PG-ZM4	49.5	2250	275	ja	17.6205787658691
2304002	X26 2304002	T 2022 PG-ZM4	49.5	2250	350	ja	183.512939453125
2304002	X25 2304002	T 2022 PG-ZM4	55	1500	350	ja	59.7903442382813
2304002	X24 2304002	T 2022 PG-ZM4	49.5	3000	350	ja	310.352966308594
2304002	X23 2304002	T 2022 PG-ZM4	49.5	2250	350	ja	134.400039672852
2304002	X22 2304002	T 2022 PG-ZM4	49.5	1500	350	ja	151.774475097656
2304002	X19 2304002	T 2022 PG-ZM4	44	1500	350	nein	0
2304002	X18 2304002	T 2022 PG-ZM4	55	3000	275	ja	235.193725585938
2304002	X17 2304002	T 2022 PG-ZM4	55	2250	275	ja	52.732234954834
2304002	X16 2304002	T 2022 PG-ZM4	55	1500	275	ja	0
2304002	X15 2304002	T 2022 PG-ZM4	49.5	3000	275	ja	129.607131958008
2304002	X14 2304002	T 2022 PG-ZM4	49.5	2250	275	ja	349.921417236328
2304002	X13 2304002	T 2022 PG-ZM4	49.5	1500	275	nein	0
2304002	X12 2304002	T 2022 PG-ZM4	44	3000	275	ja	69.2666473388672
2304002	X11 2304002	T 2022 PG-ZM4	44	2250	275	jein	0
2304002	X10 2304002	T 2022 PG-ZM4	44	1500	275	nein	0
2304002	X9  2304002	T 2022 PG-ZM4	55	3000	200	ja	2.02108311653137
2304002	X8 2304002	T 2022 PG-ZM4	55	2250	200	ja	159.214584350586
2304002	X6 2304002	T 2022 PG-ZM4	49.5	3000	200	ja	197.801010131836
2304002	X5 2304002	T 2022 PG-ZM4	49.5	2250	200	ja	53.5933799743652
2304002	X2 2304002	T 2022 PG-ZM4	44	2250	200	nein	0
2304002	X3 23040002	T 2022 PG-ZM4	44	3000	200	nein	0
2304005	N1 2304005	T 2022 PG-ZM4	49.5	3500	300	ja	982.936157226562
2304005	N2 2304005	T 2022 PG-ZM4	49.5	3800	300	ja	384.378845214844
