Versuchsreihe	Name Probe	Sonotrode	Amplitude	Vorschub	Schweißkraft	Verbund	Zugscherkraft
Name	Name	Name	µm	mm/s	N	ja/nein	N
2104003	A5V5F50	22WFN	5	5	50	nein	0
2104003	A5V5F100	22WFN	5	5	100	nein	0
2104003	A5V5F150	22WFN	5	5	150	ja	217
2104003	A5V5F200	22WFN	5	5	200	ja	66.7
2104003	A5V10F100	22WFN	5	10	100	nein	0
2104003	A5V10F150	22WFN	5	10	150	nein	0
2104003	A5V10F200	22WFN	5	10	200	nein	0
2104003	A5V15F100	22WFN	5	15	100	nein	0
2104003	A5V15F150	22WFN	5	15	150	nein	0
2104003	A5V15F200	22WFN	5	15	200	nein	0
2104003	A5V20F100	22WFN	5	20	100	nein	0
2104003	A5V20F150	22WFN	5	20	150	nein	0
2104003	A5V20F200	22WFN	5	20	200	nein	0
2104003	A10V5F100	22WFN	10	5	100	nein	0
2104003	A10V5F150	22WFN	10	5	150	nein	0
2104003	A10V5F200	22WFN	10	5	200	nein	0
2104003	A10V10F100	22WFN	10	10	100	ja	719.5
2104003	A10V10F150	22WFN	10	10	150	nein	0
2104003	A10V10F200	22WFN	10	10	200	ja	139.6
2104003	A10V15F100	22WFN	10	15	100	nein	0
2104003	A10V15F150	22WFN	10	15	150	ja	322
2104003	A10V15F200	22WFN	10	15	200	nein	0
2104003	A10V20F100	22WFN	10	20	100	nein	0
2104003	A10V20F150	22WFN	10	20	150	nein	0
2104003	A10V20F200	22WFN	10	20	200	ja	141
2104003	A15V5F50	22WFN	15	5	50	nein	0
2104003	A15V5F100	22WFN	15	5	100	nein	0
2104003	A15V5F150	22WFN	15	5	150	ja	228.3
2104003	A15V5F200	22WFN	15	5	200	ja	>2500
2104003	A15V10F100	22WFN	15	10	100	nein	0
2104003	A15V10F150	22WFN	15	10	150	nein	0
2104003	A15V10F200	22WFN	15	10	200	nein	0
2104003	A15V15F100	22WFN	15	15	100	nein	0
2104003	A15V15F150	22WFN	15	15	150	nein	0
2104003	A15V15F200	22WFN	15	15	200	ja	206.7
2104003	A15V20F100	22WFN	15	20	100	nein	0
2104003	A15V20F150	22WFN	15	20	150	nein	0
2104003	A15V20F200	22WFN	15	20	200	ja	44.1
2104003	A20V5F100	22WFN	20	5	100	nein	0
2104003	A20V5F120	22WFN	20	5	120	ja	163.6
2104003	A20V5F150	22WFN	20	5	150	ja	>2500
2104003	A20V5F200	22WFN	20	5	200	ja	>2500
2104003	A20V10F100	22WFN	20	10	100	nein	0
2104003	A20V10F150	22WFN	20	10	150	ja	113.7
2104003	A20V10F200	22WFN	20	10	200	nein	0
2104003	A20V15F100	22WFN	20	15	100	nein	0
2104003	A20V15F150	22WFN	20	15	150	nein	0
2104003	A20V15F200	22WFN	20	15	200	nein	0
2104003	A20V20F100	22WFN	20	20	100	nein	0
2104003	A20V20F150	22WFN	20	20	150	nein	0
2104003	A20V20F200	22WFN	20	20	200	ja	17
2104003	A25V5F150	22WFN	25	5	150	ja	>2500
2104003	A25V10F150	22WFN	25	10	150	ja	85.5
2104005	N1	22WFN	15	2	150	ja	3015.7
2104005	N2	22WFN	15	7	150	ja	169.4
2104005	N3	22WFN	25	2	150	nein	0
2104005	N4	22WFN	25	7	150	nein	0
2104005	N5	22WFN	15	2	200	ja	2853
2104005	N6	22WFN	15	7	200	ja	821.1
2104005	N7	22WFN	25	2	200	nein	0
2104005	N8	22WFN	25	7	200	nein	0
2104005	N9	22WFN	20	4	175	ja	398.8
2104005	N10	22WFN	20	4	175	ja	217.9
2104005	N11	22WFN	20	4	175	ja	42
2104005	N12	22WFN	15	2	150	ja	1909.1
2104005	N13	22WFN	15	7	150	ja	81.6
2104005	N14	22WFN	25	2	150	nein	0
2104005	N15	22WFN	25	7	150	nein	0
2104005	N16	22WFN	15	2	200	ja	2921
2104005	N17	22WFN	15	7	200	nein	0
